folder,decode_note,decode_variant,diff_mode,window_n,stat_kind,fft_target_hz,diff_threshold,pixel_acc_all,pixel_acc_ok,video,display_rate,exposure,fluorescent,camera_fps,cond,image,channel,token,intensity,decode_decoded_text,decode_method,decode_frame_1,decode_frame_2,note,analysis_frames,extract_sec
ex_B_12,QR未検出,,pair,,,,12,0.829652,,,,,,,35,ex,B,B,12,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_I_4,QR未検出,,pair,,,,12,0.637818,,,,,,,36,rice,min,I,4,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_I_8,QR未検出,,pair,,,,12,0.702047,,,,,,,37,rice,min,I,8,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_I_12,QR未検出,,pair,,,,12,0.840350,,,,,,,38,rice,min,I,12,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_I_4,QR未検出,,pair,,,,12,0.636275,,,,,,,39,nagaoka_fireworks,min,I,4,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_I_8,QR未検出,,pair,,,,12,0.679484,,,,,,,40,nagaoka_fireworks,min,I,8,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_I_12,QR未検出,,pair,,,,12,0.776929,,,,,,,41,nagaoka_fireworks,min,I,12,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_I_4,QR未検出,,pair,,,,12,0.636172,,,,,,,42,hocho,min,I,4,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_I_8,QR未検出,,pair,,,,12,0.638585,,,,,,,43,hocho,min,I,8,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_I_12,QR未検出,,pair,,,,12,0.683186,,,,,,,44,hocho,min,I,12,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_I_4,QR未検出,,pair,,,,12,0.644093,,,,,,,45,ex,min,I,4,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_I_8,QR未検出,,pair,,,,12,0.776660,,,,,,,46,ex,min,I,8,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_I_12,,gray,pair,,,,8,0.892496,0.936119,,,,,,47,ex,min,I,12,https://www.nagaoka-ct.ac.jp,gray_x1.0_k5_i1,frame_00009.png,frame_00010.png,,117,1.991420
rice_X_4,QR未検出,,pair,,,,12,0.636879,,,,,,,48,rice,max,X,4,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_X_8,QR未検出,,pair,,,,12,0.674345,,,,,,,49,rice,max,X,8,,,frame_00115.png,frame_00116.png,,117,1.991420
rice_X_12,QR未検出,,pair,,,,12,0.839680,,,,,,,50,rice,max,X,12,,,frame_00114.png,frame_00115.png,,117,1.991420
nagaoka_fireworks_X_4,QR未検出,,pair,,,,12,0.637935,,,,,,,51,nagaoka_fireworks,max,X,4,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_X_8,QR未検出,,pair,,,,12,0.677241,,,,,,,52,nagaoka_fireworks,max,X,8,,,frame_00115.png,frame_00116.png,,117,1.991420
nagaoka_fireworks_X_12,QR未検出,,pair,,,,12,0.795913,,,,,,,53,nagaoka_fireworks,max,X,12,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_X_4,QR未検出,,pair,,,,12,0.637060,,,,,,,54,hocho,max,X,4,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_X_8,QR未検出,,pair,,,,12,0.674909,,,,,,,55,hocho,max,X,8,,,frame_00115.png,frame_00116.png,,117,1.991420
hocho_X_12,QR未検出,,pair,,,,12,0.779505,,,,,,,56,hocho,max,X,12,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_X_4,QR未検出,,pair,,,,12,0.637535,,,,,,,57,ex,max,X,4,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_X_8,QR未検出,,pair,,,,12,0.707319,,,,,,,58,ex,max,X,8,,,frame_00115.png,frame_00116.png,,117,1.991420
ex_X_12,QR未検出,,pair,,,,12,0.821285,,,,,,,59,ex,max,X,12,,,frame_00115.png,frame_00116.png,,117,1.991420
