folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
hocho_B8,frame_00115.png,frame_00116.png,hocho_B8\rgb_max_diff_maps\00115-00116-FRAME_rgbmax_scale1.00.png,12,median_eval_analysis\hocho_B8\frame_00115-frame_00116_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_B10,frame_00115.png,frame_00116.png,hocho_B10\rgb_max_diff_maps\00115-00116-FRAME_rgbmax_scale1.00.png,12,median_eval_analysis\hocho_B10\frame_00115-frame_00116_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G2,frame_00096.png,frame_00097.png,hocho_G2\rgb_max_diff_maps\00096-00097-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G2\frame_00096-frame_00097_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G4,frame_00094.png,frame_00095.png,hocho_G4\rgb_max_diff_maps\00094-00095-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G4\frame_00094-frame_00095_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G6,frame_00003.png,frame_00004.png,hocho_G6\rgb_max_diff_maps\00003-00004-FRAME_rgbmax_scale1.00.png,12,median_eval_analysis\hocho_G6\frame_00003-frame_00004_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G8,frame_00009.png,frame_00010.png,hocho_G8\rgb_max_diff_maps\00009-00010-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G8\frame_00009-frame_00010_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_G10,frame_00103.png,frame_00104.png,hocho_G10\rgb_max_diff_maps\00103-00104-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_G10\frame_00103-frame_00104_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I2,frame_00100.png,frame_00101.png,hocho_I2\rgb_max_diff_maps\00100-00101-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\hocho_I2\frame_00100-frame_00101_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I4,frame_00118.png,frame_00119.png,hocho_I4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,9,median_eval_analysis\hocho_I4\frame_00118-frame_00119_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
hocho_I6,frame_00112.png,frame_00113.png,hocho_I6\rgb_max_diff_maps\00112-00113-FRAME_rgbmax_scale1.00.png,15,median_eval_analysis\hocho_I6\frame_00112-frame_00113_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
