video,rate_hz,exp,fluoro,fps,cond,folder,image,channel,token,intensity,start_frame,end_frame,window_end_frame,analysis_frames,extract_sec,saved_frames,max_frames,note,decode_folder,decode_frame_1,decode_frame_2,decode_diff_image,decode_analysis_image,decode_decoded_text,decode_success,decode_method,decode_note,decode_recall,decode_precision,decode_accuracy,decode_noise,decode_gt_note
r60_e250_f1.mp4,60,250,1,59.965470,41,nagaoka_fireworks_I_12,nagaoka_fireworks,min,I,12,15668,15788,15788,120,2.001152,120,120,,nagaoka_fireworks_I_12,frame_00118.png,frame_00119.png,nagaoka_fireworks_I_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,42,hocho_I_4,hocho,min,I,4,16028,16148,16148,120,2.001152,120,120,,hocho_I_4,frame_00118.png,frame_00119.png,hocho_I_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,43,hocho_I_8,hocho,min,I,8,16388,16508,16508,120,2.001152,120,120,,hocho_I_8,frame_00118.png,frame_00119.png,hocho_I_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,44,hocho_I_12,hocho,min,I,12,16748,16868,16868,120,2.001152,120,120,,hocho_I_12,frame_00118.png,frame_00119.png,hocho_I_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,45,ex_I_4,ex,min,I,4,17108,17228,17228,120,2.001152,120,120,,ex_I_4,frame_00118.png,frame_00119.png,ex_I_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,46,ex_I_8,ex,min,I,8,17468,17588,17588,120,2.001152,120,120,,ex_I_8,frame_00118.png,frame_00119.png,ex_I_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,47,ex_I_12,ex,min,I,12,17828,17948,17948,120,2.001152,120,120,,ex_I_12,frame_00118.png,frame_00119.png,ex_I_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,48,rice_X_4,rice,max,X,4,18188,18308,18308,120,2.001152,120,120,,rice_X_4,frame_00118.png,frame_00119.png,rice_X_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,49,rice_X_8,rice,max,X,8,18548,18668,18668,120,2.001152,120,120,,rice_X_8,frame_00118.png,frame_00119.png,rice_X_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,50,rice_X_12,rice,max,X,12,18908,19028,19028,120,2.001152,120,120,,rice_X_12,frame_00118.png,frame_00119.png,rice_X_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,51,nagaoka_fireworks_X_4,nagaoka_fireworks,max,X,4,19268,19388,19388,120,2.001152,120,120,,nagaoka_fireworks_X_4,frame_00118.png,frame_00119.png,nagaoka_fireworks_X_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,52,nagaoka_fireworks_X_8,nagaoka_fireworks,max,X,8,19628,19748,19748,120,2.001152,120,120,,nagaoka_fireworks_X_8,frame_00118.png,frame_00119.png,nagaoka_fireworks_X_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,53,nagaoka_fireworks_X_12,nagaoka_fireworks,max,X,12,19988,20108,20108,120,2.001152,120,120,,nagaoka_fireworks_X_12,frame_00118.png,frame_00119.png,nagaoka_fireworks_X_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,54,hocho_X_4,hocho,max,X,4,20348,20468,20468,120,2.001152,120,120,,hocho_X_4,frame_00118.png,frame_00119.png,hocho_X_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,55,hocho_X_8,hocho,max,X,8,20708,20828,20828,120,2.001152,120,120,,hocho_X_8,frame_00118.png,frame_00119.png,hocho_X_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,56,hocho_X_12,hocho,max,X,12,21068,21188,21188,120,2.001152,120,120,,hocho_X_12,frame_00118.png,frame_00119.png,hocho_X_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,57,ex_X_4,ex,max,X,4,21428,21548,21548,120,2.001152,120,120,,ex_X_4,frame_00118.png,frame_00119.png,ex_X_4\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,58,ex_X_8,ex,max,X,8,21788,21908,21908,120,2.001152,120,120,,ex_X_8,frame_00118.png,frame_00119.png,ex_X_8\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
r60_e250_f1.mp4,60,250,1,59.965470,59,ex_X_12,ex,max,X,12,22148,22268,22268,120,2.001152,120,120,,ex_X_12,frame_00118.png,frame_00119.png,ex_X_12\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,,,,,正解画像なし
