base_image,variant_file,index,mode,channel,psnr,ssim
ex.png,ex_5_invI.png,5,inv,I,46.67297240011864,0.9992697594407658
ex.png,ex_5_invR.png,5,inv,R,46.67026084201497,0.9993818282407667
ex.png,ex_5_invX.png,5,inv,X,46.69656667404446,0.9995684978453828
ex.png,ex_5_normalB.png,5,normal,B,46.651889357950964,0.9996013334558393
ex.png,ex_5_normalG.png,5,normal,G,46.66435266802419,0.9989428585264403
ex.png,ex_5_normalI.png,5,normal,I,46.67112227045128,0.999269454626884
ex.png,ex_5_normalR.png,5,normal,R,46.670391017981785,0.9993838528410436
ex.png,ex_5_normalX.png,5,normal,X,46.6535261137996,0.9995666175914724
ex.png,ex_6_invB.png,6,inv,B,45.12129191555667,0.9996273780726004
ex.png,ex_6_invG.png,6,inv,G,45.10301229773793,0.9982839483259043
ex.png,ex_6_invI.png,6,inv,I,45.09690501947859,0.9991587445305213
ex.png,ex_6_invR.png,6,inv,R,45.095021657357876,0.9993964977639385
ex.png,ex_6_invX.png,6,inv,X,45.122943264230145,0.9995872869011707
ex.png,ex_6_normalB.png,6,normal,B,45.07824701464614,0.9996247373166534
ex.png,ex_6_normalG.png,6,normal,G,45.08872461063767,0.9982700583291408
ex.png,ex_6_normalI.png,6,normal,I,45.09466562502801,0.9991493966955353
ex.png,ex_6_normalR.png,6,normal,R,45.09429123264975,0.9993942025731863
ex.png,ex_6_normalX.png,6,normal,X,45.07936268825723,0.999582343681767
ex.png,ex_7_invB.png,7,inv,B,43.79079831534571,0.9996884770274852
ex.png,ex_7_invG.png,7,inv,G,43.76935103564917,0.9980352573023227
ex.png,ex_7_invI.png,7,inv,I,43.76315716762016,0.9990835254238286
ex.png,ex_7_invR.png,7,inv,R,43.761765612700785,0.9993814732851348
ex.png,ex_7_invX.png,7,inv,X,43.79201385080482,0.9996346342479696
ex.png,ex_7_normalB.png,7,normal,B,43.745675915408924,0.9996853893312052
ex.png,ex_7_normalG.png,7,normal,G,43.75478214853875,0.9980062249682076
ex.png,ex_7_normalI.png,7,normal,I,43.76037297226613,0.9990691468478996
ex.png,ex_7_normalR.png,7,normal,R,43.760178252602486,0.9993797108314089
ex.png,ex_7_normalX.png,7,normal,X,43.746479469480626,0.9996275904464197
ex.png,ex_8_invB.png,8,inv,B,42.6384545546529,0.9997823441894329
ex.png,ex_8_invG.png,8,inv,G,42.61308047128299,0.9973449625265663
ex.png,ex_8_invI.png,8,inv,I,42.60707709991813,0.9986401296800119
ex.png,ex_8_invR.png,8,inv,R,42.606006032865345,0.9990145800260185
ex.png,ex_8_invX.png,8,inv,X,42.639386776102064,0.999676366658571
ex.png,ex_8_normalB.png,8,normal,B,42.59019054431433,0.9997786878856824
ex.png,ex_8_normalG.png,8,normal,G,42.59836420264393,0.9972988748442723
ex.png,ex_8_normalI.png,8,normal,I,42.60399277399732,0.998618452784072
ex.png,ex_8_normalR.png,8,normal,R,42.6038787700619,0.9990133890317073
ex.png,ex_8_normalX.png,8,normal,X,42.59079311208509,0.9996671004007845
hocho.png,hocho_1_invB.png,1,inv,B,51.16681215358319,0.9990481610439236
hocho.png,hocho_1_invG.png,1,inv,G,51.50467947283274,0.9988208448807858
hocho.png,hocho_1_invI.png,1,inv,I,53.63747366294461,0.9997005104012814
hocho.png,hocho_1_invR.png,1,inv,R,51.54039097752609,0.9988964083264995
hocho.png,hocho_1_invX.png,1,inv,X,54.32021424698763,0.9995497130029795
hocho.png,hocho_1_normalB.png,1,normal,B,51.91669716678354,0.9990770988703906
hocho.png,hocho_1_normalG.png,1,normal,G,51.54660096917601,0.9988230870314577
hocho.png,hocho_1_normalI.png,1,normal,I,55.067253246201034,0.9997303795087898
hocho.png,hocho_1_normalR.png,1,normal,R,51.51083857377444,0.9989345699940735
hocho.png,hocho_1_normalX.png,1,normal,X,54.26752249269664,0.9995874520990247
hocho.png,hocho_2_invB.png,2,inv,B,49.65777538515255,0.9989520833541202
hocho.png,hocho_2_invG.png,2,inv,G,50.14321423991339,0.998812580248579
hocho.png,hocho_2_invI.png,2,inv,I,51.246809110884016,0.999603836425119
hocho.png,hocho_2_invR.png,2,inv,R,50.19551641550721,0.9988235749712135
hocho.png,hocho_2_invX.png,2,inv,X,52.04443740620889,0.9994820509534699
hocho.png,hocho_2_normalB.png,2,normal,B,50.759544422849146,0.9989932016578524
hocho.png,hocho_2_normalG.png,2,normal,G,50.204631879640466,0.9988689939960491
hocho.png,hocho_2_normalI.png,2,normal,I,52.94434430474453,0.9996459027137519
hocho.png,hocho_2_normalR.png,2,normal,R,50.15222047148043,0.9988240014753053
hocho.png,hocho_2_normalX.png,2,normal,X,51.98210528772891,0.9994720744621004
hocho.png,hocho_3_invB.png,3,inv,B,48.03851366782532,0.9988703787134021
hocho.png,hocho_3_invG.png,3,inv,G,48.541014214038725,0.9985465249355299
hocho.png,hocho_3_invI.png,3,inv,I,49.06772327076528,0.9995203298531268
hocho.png,hocho_3_invR.png,3,inv,R,48.595275334551275,0.9989630447223202
hocho.png,hocho_3_invX.png,3,inv,X,49.78571086141698,0.9996157439805603
hocho.png,hocho_3_normalB.png,3,normal,B,49.18206257439386,0.9989062910708989
hocho.png,hocho_3_normalG.png,3,normal,G,48.604734724472706,0.9985406598263041
hocho.png,hocho_3_normalI.png,3,normal,I,50.57865313015731,0.9995578903229894
hocho.png,hocho_3_normalR.png,3,normal,R,48.55035602637956,0.9989591965000505
