family,factor,level,intensity,n,any_success_pct
lockin,exp,125,4,200,1.50
lockin,exp,250,4,200,0.00
lockin,all,-,8,600,5.83
lockin,image,ex,8,150,8.67
lockin,image,hocho,8,150,0.00
lockin,image,nagaoka_fireworks,8,150,0.00
lockin,image,rice,8,150,14.67
lockin,channel,B,8,120,5.83
lockin,channel,G,8,120,10.00
lockin,channel,I,8,120,0.00
lockin,channel,R,8,120,9.17
lockin,channel,X,8,120,4.17
lockin,rate,45,8,120,17.50
lockin,rate,60,8,120,6.67
lockin,rate,90,8,120,5.00
lockin,rate,120,8,120,0.00
lockin,rate,180,8,120,0.00
lockin,exp,60,8,200,5.00
lockin,exp,125,8,200,8.00
lockin,exp,250,8,200,4.50
lockin,all,-,12,600,23.33
lockin,image,ex,12,150,26.00
lockin,image,hocho,12,150,32.67
lockin,image,nagaoka_fireworks,12,150,7.33
lockin,image,rice,12,150,27.33
lockin,channel,B,12,120,24.17
lockin,channel,G,12,120,33.33
lockin,channel,I,12,120,14.17
lockin,channel,R,12,120,20.00
lockin,channel,X,12,120,25.00
lockin,rate,45,12,120,42.50
lockin,rate,60,12,120,29.17
lockin,rate,90,12,120,43.33
lockin,rate,120,12,120,0.00
lockin,rate,180,12,120,1.67
lockin,exp,60,12,200,15.50
lockin,exp,125,12,200,28.00
lockin,exp,250,12,200,26.50
fourier,all,-,4,600,0.33
fourier,image,ex,4,150,1.33
fourier,image,hocho,4,150,0.00
fourier,image,nagaoka_fireworks,4,150,0.00
fourier,image,rice,4,150,0.00
fourier,channel,B,4,120,0.00
fourier,channel,G,4,120,0.00
fourier,channel,I,4,120,0.00
fourier,channel,R,4,120,1.67
fourier,channel,X,4,120,0.00
fourier,rate,45,4,120,0.83
fourier,rate,60,4,120,0.83
fourier,rate,90,4,120,0.00
fourier,rate,120,4,120,0.00
fourier,rate,180,4,120,0.00
fourier,exp,60,4,200,0.00
fourier,exp,125,4,200,0.50
fourier,exp,250,4,200,0.50
fourier,all,-,8,600,6.33
fourier,image,ex,8,150,12.67
fourier,image,hocho,8,150,0.00
fourier,image,nagaoka_fireworks,8,150,0.00
fourier,image,rice,8,150,12.67
fourier,channel,B,8,120,5.00
fourier,channel,G,8,120,8.33
fourier,channel,I,8,120,0.00
fourier,channel,R,8,120,12.50
fourier,channel,X,8,120,5.83
fourier,rate,45,8,120,22.50
fourier,rate,60,8,120,7.50
fourier,rate,90,8,120,1.67
fourier,rate,120,8,120,0.00
fourier,rate,180,8,120,0.00
fourier,exp,60,8,200,5.00
fourier,exp,125,8,200,8.50
fourier,exp,250,8,200,5.50
fourier,all,-,12,600,21.67
fourier,image,ex,12,150,36.00
fourier,image,hocho,12,150,5.33
fourier,image,nagaoka_fireworks,12,150,12.67
fourier,image,rice,12,150,32.67
fourier,channel,B,12,120,17.50
fourier,channel,G,12,120,27.50
fourier,channel,I,12,120,10.00
fourier,channel,R,12,120,26.67
fourier,channel,X,12,120,26.67
fourier,rate,45,12,120,48.33
fourier,rate,60,12,120,20.83
fourier,rate,90,12,120,36.67
fourier,rate,120,12,120,0.00
fourier,rate,180,12,120,2.50
fourier,exp,60,12,200,14.00
fourier,exp,125,12,200,26.00
fourier,exp,250,12,200,25.00
