folder,best_frame_1,best_frame_2,diff_image,temporal_count,analysis_image,decoded_text,success,method,note
ex_I4,frame_00010.png,frame_00011.png,ex_I4\rgb_max_diff_maps\00010-00011-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I4\frame_00010-frame_00011_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I6,frame_00050.png,frame_00051.png,ex_I6\rgb_max_diff_maps\00050-00051-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I6\frame_00050-frame_00051_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I8,frame_00013.png,frame_00014.png,ex_I8\rgb_max_diff_maps\00013-00014-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I8\frame_00013-frame_00014_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_I10,frame_00058.png,frame_00059.png,ex_I10\rgb_max_diff_maps\00058-00059-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_I10\frame_00058-frame_00059_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R2,frame_00046.png,frame_00047.png,ex_R2\rgb_max_diff_maps\00046-00047-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R2\frame_00046-frame_00047_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R4,frame_00010.png,frame_00011.png,ex_R4\rgb_max_diff_maps\00010-00011-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R4\frame_00010-frame_00011_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R6,frame_00004.png,frame_00005.png,ex_R6\rgb_max_diff_maps\00004-00005-FRAME_rgbmax_scale1.00.png,13,median_eval_analysis\ex_R6\frame_00004-frame_00005_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R8,frame_00039.png,frame_00040.png,ex_R8\rgb_max_diff_maps\00039-00040-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R8\frame_00039-frame_00040_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_R10,frame_00055.png,frame_00056.png,ex_R10\rgb_max_diff_maps\00055-00056-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_R10\frame_00055-frame_00056_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X2,frame_00017.png,frame_00018.png,ex_X2\rgb_max_diff_maps\00017-00018-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X2\frame_00017-frame_00018_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X4,frame_00074.png,frame_00075.png,ex_X4\rgb_max_diff_maps\00074-00075-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X4\frame_00074-frame_00075_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X6,frame_00001.png,frame_00002.png,ex_X6\rgb_max_diff_maps\00001-00002-FRAME_rgbmax_scale1.00.png,10,median_eval_analysis\ex_X6\frame_00001-frame_00002_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X8,frame_00082.png,frame_00083.png,ex_X8\rgb_max_diff_maps\00082-00083-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X8\frame_00082-frame_00083_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
ex_X10,frame_00035.png,frame_00036.png,ex_X10\rgb_max_diff_maps\00035-00036-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\ex_X10\frame_00035-frame_00036_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B2,frame_00070.png,frame_00071.png,nagaoka_B2\rgb_max_diff_maps\00070-00071-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_B2\frame_00070-frame_00071_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B4,frame_00083.png,frame_00084.png,nagaoka_B4\rgb_max_diff_maps\00083-00084-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_B4\frame_00083-frame_00084_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B6,frame_00049.png,frame_00050.png,nagaoka_B6\rgb_max_diff_maps\00049-00050-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_B6\frame_00049-frame_00050_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B8,frame_00018.png,frame_00019.png,nagaoka_B8\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_B8\frame_00018-frame_00019_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_B10,frame_00110.png,frame_00111.png,nagaoka_B10\rgb_max_diff_maps\00110-00111-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_B10\frame_00110-frame_00111_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_G2,frame_00025.png,frame_00026.png,nagaoka_G2\rgb_max_diff_maps\00025-00026-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_G2\frame_00025-frame_00026_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_G4,frame_00036.png,frame_00037.png,nagaoka_G4\rgb_max_diff_maps\00036-00037-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_G4\frame_00036-frame_00037_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_G6,frame_00035.png,frame_00036.png,nagaoka_G6\rgb_max_diff_maps\00035-00036-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_G6\frame_00035-frame_00036_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_G8,frame_00018.png,frame_00019.png,nagaoka_G8\rgb_max_diff_maps\00018-00019-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_G8\frame_00018-frame_00019_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_G10,frame_00091.png,frame_00092.png,nagaoka_G10\rgb_max_diff_maps\00091-00092-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_G10\frame_00091-frame_00092_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_I2,frame_00041.png,frame_00042.png,nagaoka_I2\rgb_max_diff_maps\00041-00042-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_I2\frame_00041-frame_00042_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_I4,frame_00090.png,frame_00091.png,nagaoka_I4\rgb_max_diff_maps\00090-00091-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_I4\frame_00090-frame_00091_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_I6,frame_00044.png,frame_00045.png,nagaoka_I6\rgb_max_diff_maps\00044-00045-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_I6\frame_00044-frame_00045_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_I8,frame_00082.png,frame_00083.png,nagaoka_I8\rgb_max_diff_maps\00082-00083-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_I8\frame_00082-frame_00083_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_I10,frame_00045.png,frame_00046.png,nagaoka_I10\rgb_max_diff_maps\00045-00046-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_I10\frame_00045-frame_00046_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_R2,frame_00058.png,frame_00059.png,nagaoka_R2\rgb_max_diff_maps\00058-00059-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R2\frame_00058-frame_00059_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_R4,frame_00026.png,frame_00027.png,nagaoka_R4\rgb_max_diff_maps\00026-00027-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R4\frame_00026-frame_00027_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
nagaoka_R6,frame_00017.png,frame_00018.png,nagaoka_R6\rgb_max_diff_maps\00017-00018-FRAME_rgbmax_scale1.00.png,17,median_eval_analysis\nagaoka_R6\frame_00017-frame_00018_ng_temporal_decode_fallback_decode_.png,,0,temporal_decode失敗|fallback_decode失敗,QR未検出
