folder,frame_1,frame_2,diff_image,analysis_image,decoded_text,success,method,note,recall,precision,accuracy,noise,gt_note
rice_G14,frame_00115.png,frame_00116.png,rice_G14\rgb_max_diff_maps\00115-00116-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.581014,0.779603,0.774464,0.043149,
rice_G14,frame_00116.png,frame_00117.png,rice_G14\rgb_max_diff_maps\00116-00117-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.570029,0.786601,0.773932,0.039692,
rice_G14,frame_00117.png,frame_00118.png,rice_G14\rgb_max_diff_maps\00117-00118-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.551278,0.797427,0.772328,0.036037,
rice_G14,frame_00118.png,frame_00119.png,rice_G14\rgb_max_diff_maps\00118-00119-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.861101,0.746409,0.833158,0.059799,
rice_I6,frame_00000.png,frame_00001.png,rice_I6\rgb_max_diff_maps\00000-00001-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.129410,0.675141,0.639269,0.031231,
rice_I6,frame_00001.png,frame_00002.png,rice_I6\rgb_max_diff_maps\00001-00002-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.082612,0.620493,0.625712,0.024054,
rice_I6,frame_00002.png,frame_00003.png,rice_I6\rgb_max_diff_maps\00002-00003-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.074458,0.611043,0.623770,0.022096,
rice_I6,frame_00003.png,frame_00004.png,rice_I6\rgb_max_diff_maps\00003-00004-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.091163,0.695454,0.633120,0.022754,
rice_I6,frame_00004.png,frame_00005.png,rice_I6\rgb_max_diff_maps\00004-00005-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.076870,0.665765,0.628107,0.023670,
rice_I6,frame_00005.png,frame_00006.png,rice_I6\rgb_max_diff_maps\00005-00006-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.093516,0.682000,0.632606,0.025597,
rice_I6,frame_00006.png,frame_00007.png,rice_I6\rgb_max_diff_maps\00006-00007-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.076558,0.646913,0.626751,0.019276,
rice_I6,frame_00007.png,frame_00008.png,rice_I6\rgb_max_diff_maps\00007-00008-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.078720,0.626774,0.625619,0.024553,
rice_I6,frame_00008.png,frame_00009.png,rice_I6\rgb_max_diff_maps\00008-00009-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.086878,0.685872,0.631514,0.020587,
rice_I6,frame_00009.png,frame_00010.png,rice_I6\rgb_max_diff_maps\00009-00010-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.079435,0.660497,0.628233,0.022138,
rice_I6,frame_00010.png,frame_00011.png,rice_I6\rgb_max_diff_maps\00010-00011-FRAME_rgbmax_scale1.00.png,,,0,decode失敗,QR未検出,0.082639,0.718348,0.632732,0.017177,
